Approx Duration (ms),Video Description (Original),Video Title (Original),Video Publish Timestamp
1259000,"Cleaning up noise without losing information is important for microscope images (micrographs). This tutorial explains a few ways to perform denoising in openCV. It also explains Canny edge detection, also part of opencv.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",26 - Denoising and edge detection using opencv in Python,2019-05-20T22:12:47+00:00
1232000,"Histogram equalization often makes images easy to threshold and further segment. This tutorial demonstrates the use of Contrast Limited Adaptive Histogram Equalization (CLAHE) and subsequent thresholding using openCV library in Python.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",27 - CLAHE and Thresholding using opencv in Python,2019-05-21T01:56:46+00:00
1231000,"It becomes necessary to cleanup 'noise' after image thresholding. This tutorial explains the use of morphological operators like erosion, dilation and opening to cleanup post-thresholding noise.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",28 - Thresholding and morphological operations using openCV in Python,2019-05-22T00:32:41+00:00
1826000,"Keypoints are points of interest in an image that can be used to compare images and perform tasks such as image alignment and registration. These points can be automatically detected (defined) by the system using algorithms such as SIFT, SURF, and ORB. Some of these algorithms can also define the descriptors to make key points really useful for image processing tasks. This tutorial introduces a few key point detectors and descriptors.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists","29 - Key points, detectors and descriptors in openCV",2019-05-25T16:08:40+00:00
2802000,"Image registration is one of the common tasks performed by microscopists working with 3D data sets. There are excellent algorithms available for registration. Homography allows image registration by using descriptors of keypoints generated by SIFT, SURF, ORB or similar keypoint descriptors. This tutorial demonstrates the process using a distorted image and corresponding reference image.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",30 - Image registration using homography in openCV,2019-05-28T22:32:40+00:00
1097000,"Image (data) analysis may require you to save results into a csv file. Or if you would like to perform data analysis in Python you may need to read/import csv files. This tutorial explains a few ways to read and write csv files into and out of Python.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",31 - A few ways to read and write csv files in Python,2019-05-30T17:57:49+00:00
2469000,"Understanding grains in metal alloys is important for quality control and research. Optical and electron microscopes are used to image well-polished alloy surfaces to capture grain structure. Automating the process of grain analysis not only speeds up QC/research but also yields consistent & repeatable results. 

This video tutorial explains the image processing tasks required to generate grain analysis summary and to capture it in a csv file.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",32 - Grain size analysis in Python using a microscope image,2019-05-31T20:33:46+00:00
2328000,"Threshold based segmentation will not yield good results if the features of interest cannot be easily distinguished using the histogram of pixel values. For example, grains in a microscope image (or cells) will not be efficiently separated thus resulting in wrong insights about the sample. 

Watershed assisted segmentation is ideal for these situations. The image can be thresholded first using traditional approach to identify definitely positive and definitely negative regions. Then, watershed algorithm can be used to fill the gaps. This video demonstrates the use of watershed algorithm using a microscope image showing grains and boundaries (same example as previous video in this playlist).

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",33 - Grain size analysis in Python using watershed,2019-06-04T15:00:18+00:00
1103000,"This tutorial is an extension of the previous tutorial where grain size analysis was performed using a single image. In this tutorial you will learn 2 ways to apply the grain analysis process to multiple images in a directory. Please remember that there are many ways to handle multiple images but this video shows two easiest approaches, especially for beginner programmers.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",34 - Grain size analysis in Python using watershed - multiple images,2019-06-05T16:56:23+00:00
924000,"This tutorial explains the process of cell nuclei segmentation followed by counting and sizing the nuclei. The results are exported into a csv file for further analysis. The tutorial is a follow up to the previous 3 videos in this playlist where grain segmentation was performed using traditional and watershed segmentation, respectively. The video is dedicated to all biologists who are wasting their valuable research time in doing these task manually!

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",35 - Cell Nuclei analysis in Python using watershed segmentation,2019-06-06T22:34:31+00:00
1379000,"Data analysis is an essential step after image processing. While Excel provides an easy interface for data analysis and plotting it does come with a lot of limitations, especially when it comes to handling big data. Pandas library in Python provides great tools for data manipulation and analysis. This tutorial provides an introduction to Pandas and covers the topics of data loading (using a csv file) and basic handling of data.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",36 - Introduction to Pandas - Data reading and handling,2019-06-25T22:29:04+00:00
905000,"This tutorial explains the basic data manipulation tasks using Pandas library in Python. These tasks include editing rows and columns.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",37 - Introduction to Pandas - Data Manipulation,2019-06-25T23:02:58+00:00
1274000,"This tutorial explains data sorting tasks using Pandas library in Python. Sorting and filtering can help you understand and interpret data in a meaningful way.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",38 - Introduction to Pandas - Data Sorting,2019-06-26T22:30:35+00:00
731000,"This tutorial explains data grouping using Pandas library in Python. Grouping can help with better understanding the information contained within the data. For example, if you have bi-modal distribution of cells or grains, grouping them as small & large enables you to better understand the morphology information for each cell/grain type.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",39 - Introduction to Pandas -  Grouping Data,2019-06-26T22:35:54+00:00
906000,Data comes in many forms and encountering missing data is inevitable. Pandas is very flexible when it comes to handling missing data. This tutorial explains ways to check for missing data (a.k.a Null values or NaN) and also demonstrates a couple of ways to handle missing data (delete rows/columns or fill with a meaningful value).,40 - Introduction to Pandas - Dealing with missing (null) data,2019-06-26T22:44:12+00:00
1663000,"Plotting is the best way to communicate information contained in images and other forms of data. Pandas is an excellent library in Python for data analysis and it also contains a few plotting tools (powered by Matplotlib). This tutorial covers the core plotting tools in Pandas library.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",41 - Introduction to Pandas  - Plotting,2019-07-01T16:04:29+00:00
1743000,"Seaborn is a complimentary plotting library to Matplotlib for statistical data visualization. It enhances the visualization capabilities and makes working with Pandas DataFrames easy. This tutorial covers the basics of Seaborn library and goes through a few example plots.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",42 - Introduction to Seaborn Plotting in Python,2019-07-01T16:23:00+00:00
1281000,"A high level explanation of machine learning - for absolute beginners.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",43 - What is machine learning anyway?,2019-07-09T22:11:15+00:00
1016000,"Linear regression is a type of predictive analysis that is used in many fields including sciences, engineering and forecasting. This video explains linear regression and introduces relevant terminology such as least squares, cost function, and gradient descent.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",44 - What is linear regression?,2019-09-13T22:47:39+00:00
1520000,"This is a follow up to the previous video where I explained the theory behind Linear Regression. In this video, I go through the process of using Sci-kit learn in Python to perform Linear Regression on data imported from a csv file.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",45 - Linear regression using Sci-Kit Learn in Python,2019-09-17T18:18:51+00:00
828000,"When you build a model using machine learning or other means it is important to validate it with a test data set. It is important to test the model on data that the algorithm did not use for training purposes. It is also important for the test data set to follow similar probability distribution as the training data set. The easiest way to achieve this is by splitting the data into training and testing data sets. This video tutorial explains this process in Python using Scikit-learn library.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",46 - Splitting data into training and testing sets for machine learning,2019-09-20T23:23:38+00:00
798000,"In the previous video I've explained the concept of linear regression where a single independent variable (X) was used to model the dependent variable (Y). In reality, multiple independent factors (variables) may influence the response. This tutorial explains the use of regression to model single independent variable using multiple dependent variables.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",47 - Multiple Linear Regression with SciKit-Learn in Python,2019-09-24T20:53:10+00:00
827000,"Despite its name, Logistic regression is primarily used for classification type of problems. In other words, it is a statistical method in which there are one or more independent variables that determine an outcome.  Binary logistic regression examples include, sick vs healthy cell, defective vs good part or small vs large particle. This tutorial explains the basics of logistic regression.",48 - What is logistic regression?,2019-09-24T21:02:25+00:00
2316000,"This tutorial explains the few lines to code logistic regression in Python using scikit-learn library.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",49 - Logistic Regression using scikit-learn in Python,2019-09-24T21:23:04+00:00
1015000,"k-means is probably the simplest unsupervised machine learning algorithm that uses clustering techniques to sort data into various clusters (classes). This video tutorial explains the basics of k-means and walks you through the process of coding it in Python.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",50 - What is k-means clustering and how to code it in Python?,2019-09-26T19:27:53+00:00
1097000,k-means is one of the best unsupervised machine learning algorithms. Do you know that it can be used to segment images? This tutorial explains the use of k-means to automatically segment microscope images.,51 - Image Segmentation using K-means,2019-09-27T23:28:18+00:00
1768000,"Gaussian mixture model (GMM) is a type of clustering algorithm that falls under the umbrella of unsupervised machine learning techniques. As the name indicates, GMM models each cluster to a Gaussian distribution with specific mean and variance. It follows the expectation maximization algorithm principles to find the required parameters to model different Gaussians. 

This tutorial explains the basics of GMM and also goes through the process of writing few lines of code to segment a microscope image.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",52 - What is GMM and how to use it for Image segmentation?,2019-09-30T21:40:43+00:00
820000,"Unsupervised machine learning (e.g. k-means, GMM) can be used to segment data into various clusters. But how do you know the optimal number of clusters to divide your data? This video explains the use of AIC / BIC to identify the optimal number of parameters for unsupervised models.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",53  - How to pick optimal number of parameters for your unsupervised machine learning model?,2019-10-04T23:47:39+00:00
836000,"This video provides a quick explanation of unsupervised and supervised machine learning learning approaches, respectively. As the name suggests, supervised requires information from the user in order to train the algorithm and unsupervised works directly with minimal input from the user.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",54 - Unsupervised and supervised machine learning  - a reminder,2019-10-07T20:07:25+00:00
897000,"There are many reasons for instrument manufacturers to invent proprietary file formats for their microscope images. The primary reason is to pack relevant information into their images so you can readily work with them in their respective software packages. 

This makes it difficult, sometimes near impossible, to handle these images outside of their respective software packages. Luckily, a few of these manufacturers share libraries to handle images in other software platforms.  Also, a few good Samaritans develop libraries by working closely with the instrument manufacturers. 

This tutorial explains the process of opening such proprietary files in Python, by using .czi file as an example.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",55 - How to read proprietary microscope images into Python,2019-10-08T23:18:44+00:00
595000,"Feature engineering is an essential part of traditional machine learning. Selecting appropriate features not only speeds up the analysis time but also helps improve your analysis accuracy. This tutorial explains features from an image processing perspective.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",56 - What are features in machine learning?,2019-10-10T22:07:31+00:00
1063000,"Features describe the data you're trying to model. For image processing and machine vision, features can be defined and extracted via digital image filters. This tutorial explains the process of generating features in Python for machine learning purposes.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",57 - How to generate features in Python for machine learning?,2019-10-11T20:25:26+00:00
1559000,"Segmenting your images is an easy task if you can separate regions of interest using histogram (pixel values). But life is not that easy, most scientific images contain regions of interest that require additional information for segmentation. Gabor is a bandpass filter that can be used to extract texture, orientation and other relevant information from your images. This information can then be supplied to your favorite machine learning algorithm. This tutorial explains the basics of Gabor filter, including its implementation in Python.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",58 - What are Gabor filters?,2019-10-14T17:32:32+00:00
1306000,"There are many machine learning classifiers that have been developed over years for various purposes. While deep learning is slowly replacing these traditional classifiers, Random Forest still beats deep learning for applications with limited training data. Microscope image segmentation is one such application where users often work with limited training data. This tutorial provides a quick introduction to Random Forest - no coding!

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",59 - What is Random Forest classifier?,2019-10-15T22:11:38+00:00
1937000,"This video explains the implementation of Random Forest in Python using data imported from a csv file. Image segmentation using feature engineering and Random Forest will be covered in the upcoming videos.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",60 - How to use Random Forest in Python?,2019-10-18T00:39:12+00:00
964000,Gabor is a great kernel to generate (extract) features from images for machine learning based image segmentation. This tutorial explains the process of generating feature banks using Gabor in Python. The tutorial also explains the process of applying these filters to an image.,61 - How to create Gabor feature banks for machine learning,2019-10-18T22:47:36+00:00
390000,"This video provides an overview of the tasks required for image segmentation using traditional machine learning approach. The follow up series of videos (total 5) will go through each step in detail including, feature extraction, Random Forest training and validation, feature ranking, saving model and segmenting multiple images in a folder.

Dataset for semantic segmentation can be downloaded from here: https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view",62 - Image Segmentation using traditional machine learning - The plan,2019-10-20T03:24:21+00:00
1372000,"This is part 1 of the 5 part series tutorials that covers the topic of image segmentation using feature engineering and random forest classification. In this tutorial you'll learn how to extract features from your training images and organize the data in Pandas data frame to be ready for machine learning classification.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists

Dataset for semantic segmentation can be downloaded from here: https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view",63 - Image Segmentation using traditional machine learning Part1 - FeatureExtraction,2019-10-21T03:02:07+00:00
1075000,"This is part 2 of the 5 part series of videos on image segmentation using traditional machine learning. This video explains the process of training a Random Forest classifier using the feature vectors generated from the training image(s).

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists

Dataset for semantic segmentation can be downloaded from here: https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view",64 - Image Segmentation using traditional machine learning - Part2 Training RF,2019-10-23T11:49:17+00:00
452000,"This is part 3 of the 5 part series of videos on image segmentation using traditional machine learning. 

Not all features used for machine learning contribute equally towards building the model. The feature importance depends on the type of image and regions of interest for segmentation. This video explains the process of reporting feature rankings during Random Forest training process. 

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists

Dataset for semantic segmentation can be downloaded from here: https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view",65 - Image Segmentation using traditional machine learning - Part3 Feature Ranking,2019-10-23T11:57:13+00:00
443000,"This is part 4 of the 5 part series of videos on image segmentation using traditional machine learning. This video explains the process of saving (Pickling) the trained model and using it to segment an image.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists

Dataset for semantic segmentation can be downloaded from here: https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view",66 - Image Segmentation using traditional machine learning - Part4 Pickling Model,2019-10-23T12:02:00+00:00
1061000,"This is part 5 of the 5 part series of videos on image segmentation using traditional machine learning. 

This video explains the process of segmenting multiple images by loading a trained model.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists

Dataset for semantic segmentation can be downloaded from here: https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view",67 - Image Segmentation using traditional machine learning - Part5 Segmenting Images,2019-10-23T12:08:06+00:00
735000,"Support Vector Machines (SVM) is one of the many 'traditional' machine algorithms used in data / image analysis. In fact, SVM and Random Forest are the two primary algorithms for traditional machine learning. This tutorial provides a quick overview of SVM.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",68 - Quick introduction to Support Vector Machines (SVM),2019-11-13T16:39:38+00:00
901000,"SVM and Random Forest are the two primary 'traditional' machine learning algorithms used for data / image analysis. Therefore, it only makes sense to compare both approaches for the task of image segmentation. Random Forest based image segmentation has been covered in a previous tutorial. This tutorial goes through the process of switching the classifier from Random Forest to SVM in Python and then comparing results between both classifiers.  Spoiler alert - Random Forest is much faster and more accurate than SVM for image segmentation purposes.",68b - SVM vs. Random Forest for image segmentation,2019-11-13T16:55:32+00:00
2289000,"Bag of words (BOW) model is used in natural language processing for document classification where the frequency of each word is used as a feature to train a classifier. This approach can be extended to classify images by treating each feature in the image as a word, bag of visual words (BOVW). 

For BOVW approach, the features from image can be extracted using one of many feature extractors such as SIFT, HOG, SURF, and ORB. The extracted features can then be clustered into various bins using a clustering algorithm such as k-means. Finally, the features can be used to train a classifier such as Random Forest or SVM.

This tutorial explains the Python approach for BOVW based image classification.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists

Malaria cell data set: https://www.kaggle.com/datasets/iarunava/cell-images-for-detecting-malaria",69 - Image classification using Bag of Visual Words (BOVW),2019-11-15T11:00:06+00:00
2028000,"This video tutorial provides a quick overview of deep learning and neural networks. It also provides brief explanation to various terms used in deep learning such as Convolution, Max pooling, batch normalization, dropout, flatten, activation, optimizer, and loss function.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",70 - An overview of deep learning and neural networks,2019-11-18T13:00:03+00:00
2950000,"This video goes through the process of classifying malarial cells into parasitized and healthy cells using convolutional neural networks (CNN) in Python. The dataset can be downloaded directly from the national library of medicine website - https://lhncbc.nlm.nih.gov/publication/pub9932.

OR 
from here:
https://www.kaggle.com/datasets/iarunava/cell-images-for-detecting-malaria

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",71 - Malarial cell classification using CNN,2019-11-20T13:00:04+00:00
732000,"Training machine learning models using deep learning can take hours to days depending on the data set size. Therefore, GPU acceleration is a must to cut down training time from days to hours and from hours to minutes. Just because your workstation contains a graphics card doesn't mean it is ready for GPU computation. This tutorial explains an easy way to get your GPU ready for Tensorflow (& Keras) based deep learning. 

To find out GPU compute compatibility of your graphics card: https://developer.nvidia.com/cuda-gpus

 Enter this command in your Anaconda prompt window to install tensorflow for GPU: conda create --name tf_gpu tensorflow-gpu
This creates a new environment for your Anaconda that lets you use GPU for deep learning.",72 - Getting Windows10 system ready for GPU accelerated deep learning,2019-11-22T11:00:02+00:00
1093000,"Many deep learning architectures have been proposed to solve various image processing challenges. SOme of the well known architectures include LeNet, ALexNet, VGG, and Inception. U-net is a relatively new architecture proposed by Ronneberger et al. for semantic image segmentation. This video explains the U-Net architecture; a good understanding is essential before coding. 

Link to the original U-Net paper: https://arxiv.org/abs/1505.04597

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",73 - Image Segmentation using U-Net - Part1 (What is U-net?),2019-12-03T11:00:01+00:00
1155000,"The previous video in this playlist (labeled Part 1) explains U-Net architecture. This video tutorial explains the process of defining U-Net in Python using Keras API.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",74 - Image Segmentation using U-Net - Part 2 (Defining U-Net in Python using Keras),2019-12-05T11:00:01+00:00
410000,"This short video tutorial explains the meaning of trainable parameters using a simple example calculation. In summary, trainable parameters are the weights and biases that get updated during the training process.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",75 - Image Segmentation using U-Net - Part 3 (What are trainable parameters?),2019-12-06T11:00:18+00:00
838000,"This part 4 video of the 6 part series explains the process of fitting a model and other useful actions as part of U-Net model training process. Since deep learning training can take hours or even days, it is necessary to define relevant checkpoints to save work in the event something happens during training. Also, it is important to define early stopping if the model accuracy doesn't improve much after each epoch. This video tutorial explains the process of defining these parameters in Python (using Keras API).

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists","76 - Image Segmentation using U-Net - Part 4 (Model fitting, checkpoints, and callbacks)",2019-12-09T17:00:01+00:00
1740000,"In the previous 4 videos of this playlist we learnt about U-Net and how to define it in Python. In this video we'll go through the data set and understand the images that need to be segmented. The data set can be downloaded from here: https://www.kaggle.com/c/data-science-bowl-2018/data

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",77 - Image Segmentation using U-Net - Part 5 (Understanding the data),2019-12-11T13:00:19+00:00
1273000,"This is the final episode of the 6 part video series on U-Net based image segmentation. In this video we'll execute the Python code to train the model and segment a few random images. We'll also have a look at Tensorboard to visualize epoch accuracy and loss as a function of number of epochs.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",78 - Image Segmentation using U-Net - Part 6 (Running the code and understanding results),2019-12-12T13:00:04+00:00
553000,"How do you make sure you application works on other systems or even in the cloud? Docker is an emerging piece of technology that enables easy potability of your applications. This tutorial provides a basic introduction to Docker, why you need it, what it is and how to download it (link below). 

Watch the next 4 videos in this playlist to find out more about Docker and to learn about Dockerizing your Python code and running it in the cloud. 

Link to download Docker Desktop: https://www.docker.com/products/docker-desktop

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",79 - What is Docker?,2019-12-13T13:00:04+00:00
356000,"It all starts with Dockerfile, a text file with a few lines of instructions. This tutorial explains the terms Dockerfile, Docker Image, Docker Container, and Docker repository. It also explains the connection between these terms and puts things in perspective for better understanding. 

Links mentioned in the video:
Docker desktop download: https://www.docker.com/products/docker-desktop
Docker hub: https://hub.docker.com/

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists","80 - What is Dockerfile, Docker Image, and Docker Container",2019-12-16T13:00:17+00:00
902000,"This video walks you through the process of verifying Docker installation on your Windows 10 system and running your first hello world Docker container. It also introduces you to a few common Docker commands to view a list of Docker Images / Containers on your system and remove (delete) selected ones. 

Relevant URL links:
Download Docker Desktop: https://www.docker.com/products/docker-desktop
Docker repository of images: https://hub.docker.com/

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",81 - Testing Docker on Windows and introduction to basic commands,2019-12-17T13:00:04+00:00
1120000,"You've written your Python code and you installed Docker, now what? This video explains the process of Dockerizing your Python code (application). This includes defining your Dockerfile, building an image and running a container. Python code for non-local means denoising has been used as an example. 
Link to NLM from scikit-image documentation: https://scikit-image.org/docs/dev/auto_examples/filters/plot_nonlocal_means.html

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",82 - Dockerizing your python application,2019-12-18T19:22:25+00:00
904000,"What fun is creating a Docker if you cannot deploy it as an application in the cloud? While there are many cloud services (e.g. AWS, Azure) that offer infrastructure to run Dockers they all need a bit of expertise which only an advanced software engineer can handle. This tutorial provides a brief introduction to APEER, cloud based microscopy image processing platform that lets you deploy your Docker for private or public use. Of course, it also lets you connect your Docker with others' for customized workflow building. 

Relevant links: www.apeer.com

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",83 - Running your Docker in the cloud,2019-12-19T18:42:54+00:00
